"cnpj","nome_coop","auditorIndependente"
23623636,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT","CONFEDERACAO NACIONAL DE AUDITORIA COOPERATIVA - CNAC"
3427097,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
1637949,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAPANEMA","APPROACH AUDITORES INDEPENDENTES S/S"
7946216,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIÃO SUDESTE","RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S"
8742188,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO","CONFEDERACAO NACIONAL DE AUDITORIA COOPERATIVA - CNAC"
10548608,"COOPERATIVA DE CRÉDITO DE SERVIDORES DA UESC - UESCOOP","PEPPE ASSOCIADOS - CONSULTORES & AUDITORES INDEPENDENTES"
3461243,"COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
4138455,"COOPERATIVA DE CRÉDITO DO RIO GRANDE DO NORTE - SICOOB RIO GRANDE DO NORTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
4237413,"COOPERATIVA DE CRÉDITO DO VALE DO SÃO FRANCISCO - SICREDI VALE DO SÃO FRANCISCO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
3422007,"COOPERATIVA DE CRÉDITO DOS BANCÁRIOS DE SÃO PAULO E MUNICÍPIOS LIMÍTROFES","ANEND AUDITORES INDEPENDENTES"
62605290,"COOPERATIVA DE CRÉDITO DOS EMPREGADOS DAS EMPRESAS DO GRUPO INDORAMA NO BRASIL","CONTROL AUDITORIA E CONTABILIDADE"
